"区名","count","D","Date"
"緑区",4540,"2022年2月7日",2022-02-07
"中央区",8583,"2022年2月7日",2022-02-07
"南区",7796,"2022年2月7日",2022-02-07
"市外",1913,"2022年2月7日",2022-02-07
"計",22832,"2022年2月7日",2022-02-07
