"区名","count","D","Date"
"緑区",2379,"2021年12月20日",2021-12-20
"中央区",4416,"2021年12月20日",2021-12-20
"南区",4149,"2021年12月20日",2021-12-20
"市外",831,"2021年12月20日",2021-12-20
"計",11775,"2021年12月20日",2021-12-20
